Lien d'une DB de musiques (khinsider),,,,,,,,,Votants,,,,,,,,,,,,,,,,,,,,,,,
"Hésitez pas à rajouter des musiques, et à noter celles déjà dans le gsheet",,,,,,,,,"(1 si vous êtes cap de la reconnaître en blindtest, 0 sinon)",,,,,,,,,,,,,,,,,,,,,,,
"Mettez en priorité les liens de la page web, les liens de l'audio deviennent rapidemment obsolètes mais on peut les récupérer grâce à la page web",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Licence, nb: 315","Jeu, nb: 541","OST, nb: 1294",Noms Valides pr trouver séparé les noms par /,"Lien page web, nb: 192",,Lien audio,Nb de vote,Vote moyenne connais (1)/connais pas (0),UserA,UserB,UserC,UserD,UserE,UserF,UserG,UserH,UserI,UserJ,UserK,UserL,UserM,UserN,UserO,UserP,UserQ,UserR,UserS,UserT,UserU,UserV,UserW,UserX
Ace Attorney,The Great Ace Attorney,Partners - The game is afoot!,,https://downloads.khinsider.com/game-soundtracks/album/dai-gyakuten-saiban-2-naruhodou-ryuunosuke-no-kakugo-gekiban-ongaku-daizenshuu-2017/2-05.%2520Partners%2520-%2520The%2520game%2520is%2520afoot%2521.mp3,,https://lambda.vgmtreasurechest.com/soundtracks/dai-gyakuten-saiban-2-naruhodou-ryuunosuke-no-kakugo-gekiban-ongaku-daizenshuu-2017/upooxbsowh/2-05.%20Partners%20-%20The%20game%20is%20afoot%21.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Alan Wake,Alan Wake II,Herald of Darkness,,https://downloads.khinsider.com/game-soundtracks/album/alan-wake-2-old-gods-of-asgard-2023/07%2520-%2520Herald%2520of%2520Darkness%2520%2528feat.%2520Alan%2520Wake%2520%2526%2520Mr.%2520Door%2529.mp3,,https://nu.vgmtreasurechest.com/soundtracks/alan-wake-2-old-gods-of-asgard-2023/ecbynwru/07%20-%20Herald%20of%20Darkness%20%28feat.%20Alan%20Wake%20%26%20Mr.%20Door%29.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Amnesia,Amnesia : The Dark Descent,Back Hall,,https://downloads.khinsider.com/game-soundtracks/album/amnesia-the-dark-descent/11.%2520Back%2520Hall.mp3,,https://nu.vgmtreasurechest.com/soundtracks/amnesia-the-dark-descent/fruwxajt/11.%20Back%20Hall.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Among Us,Among Us,Kill,,,,,16,0,1,1,1,1,,1,1,1,1,,1,1,,1,1,,1,1,1,,1,,,
Among Us,Among Us,Report,,,,,14,0,1,1,1,1,,1,1,1,1,,1,1,,1,1,,1,,,,,,1,
Among Us,Among Us,Role,,,,,15,0,1,1,1,1,,1,1,1,1,1,1,1,,1,1,,1,,,,,,1,
Animal Crossing,Animal Crossing : Wild World,Title Screen,AC/ACWW,,,https://audio.jukehost.co.uk/fMgrhCbXHWaXhiOnWbPHG9u4ZCEpa2lE,5,0,1,1,,,,,1,1,,,,,,,,,,,,,,1,,
Battlefield,Battlefield 1942,Vehicle 4,,,,https://nu.vgmtreasurechest.com/soundtracks/battlefield-1942/qxpixllz/01%20-%20Vehicle%204.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Blasphemous,Blasphemous 2,De blanca mantilla,Benedicta,https://downloads.khinsider.com/game-soundtracks/album/blasphemous-2-ost-2023/18.%2520De%2520Blanca%2520Mantilla.mp3,,https://jetta.vgmtreasurechest.com/soundtracks/blasphemous-2-ost-2023/qbkuuomt/18.%20De%20Blanca%20Mantilla.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Blasphemous,Blasphemous 2,Lienzo de la luz il el tiempo,Ending A,https://downloads.khinsider.com/game-soundtracks/album/blasphemous-2-ost-2023/30.%2520Lienzo%2520de%2520la%2520Luz%2520y%2520el%2520Tiempo.mp3,,https://jetta.vgmtreasurechest.com/soundtracks/blasphemous-2-ost-2023/gcvwwtbd/30.%20Lienzo%20de%20la%20Luz%20y%20el%20Tiempo.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
